user,webtoon_title,webtoon_num,webtoon_ratings
64,나노리스트,224,5
64,나타나주세요!,254,6
64,헬스던전,1864,1
65,신비,992,5
65,언터처블,1143,5
65,오렌지 마말레이드,1242,4
65,택배 왔습니다,1690,4
65,해피니스,1843,4
66,격기3반,59,3
66,김부장,200,5
66,나 혼자 네크로맨서,221,4
66,나 혼자 만렙 뉴비,222,5
66,내가 키운 S급들,283,5
66,본투비갓,720,5
66,상남자,838,6
66,싸움독학,1018,5
66,에이머,1149,6
66,외모지상주의,1286,5
66,윈드브레이커,1352,5
66,잔불의 기사,1446,1
66,전지적 독자 시점,1480,4
66,참교육,1578,5
66,취사병 전설이 되다,1622,5
66,퀘스트지상주의,1650,4
